Word,V.Mean.Sum,V.SD.Sum,A.Mean.Sum,A.SD.Sum,D.Mean.Sum,D.SD.Sum
affirmative,5.94,2.04,3.64,2.13,6.78,1.88
affliction,3.76,1.92,5.1,2.25,4.17,2.38
afford,6.56,2.09,4.33,2.82,6.44,2.04
affordable,7.52,1.44,4.11,2.28,6.16,2.58
affront,4.53,1.17,4.5,2.46,5.04,1.9
afire,6.05,1.36,5.41,2.48,4.38,2.2
afloat,5.57,1.33,4.13,2.24,4.96,1.95
aforementioned,5.21,1.96,3.5,2.24,4.96,2.25
afraid,2.25,1.16,5.12,2.57,2.71,1.9
african,6.42,1.74,4.11,2.28,5.8,1.94
afterlife,5.53,2.52,4.32,2.9,5.86,2.92
aftermath,4.29,1.82,5.38,2.46,4.23,1.48
afternoon,6.68,1.43,3.48,2.09,5.71,1.53
aftershave,5.55,1.57,3.5,2.44,5.81,2.5
age,5.78,1.93,3.71,2.59,4.67,2.4
agency,5.14,1.46,3.17,1.97,4.89,2.37
agenda,5.05,2.01,3.62,2.26,5.36,2.52
agent,5.23,1.95,3.43,2.13,5.65,2.37
aggravate,2.55,1.19,5.9,2.19,4.85,2.56
aggravation,2.48,1.12,5.35,2.81,4.45,2.56
aggression,3.18,2.02,5.69,2.49,4.65,2.31
aggressive,3.08,1.5,5.87,2.53,5.49,2.59
aggressiveness,3.58,2.12,6.43,2.11,5.21,2.3
aggressor,2.8,1.01,6.55,1.57,4.57,2.73
agile,5.95,2.2,4.95,2.01,6.09,2.11
agility,6.55,1.19,4.21,2.29,6.41,2.02
aging,3,1.41,3.8,2.88,3.06,2.54
agitate,3.36,1.68,5.82,2.52,4.55,2.39
agitation,2.84,1.42,4.75,2.38,3.29,1.76
aglow,5.84,1.5,4.83,2.73,5.59,2.09
agonizing,2.68,1.49,6.71,1.95,4.04,2.01
agony,2.46,1.64,5.78,2.78,4,2.81
agree,7.17,1.58,3.62,2.09,6.94,1.3
agreeable,6.9,1.94,3.55,2.21,6.97,1.74
agreement,6.75,2.51,4.05,2.22,6.48,1.81
agricultural,5.5,2.41,3.55,2.18,5.74,1.66
agriculture,6.1,0.91,3.05,2.4,6,1.87
ahoy,5.58,1.64,3.95,2.2,5.45,1.88
aid,6.29,2.05,4.55,2.35,5.95,2.27
aide,5.6,1.19,4,1.66,7.05,1.47
aids,3.52,2.2,3.75,2.74,4.88,2.71
AIDS,1.33,0.8,5,2.6,3.55,2.77
ailing,2.95,1.43,4.52,2.48,4.15,1.42
ailment,3,1.37,3.68,2.25,3.14,2.12
aim,5.95,1.76,4,2.37,6.5,2.35
air,6.71,1.85,3.25,2.55,5.72,2.8
airbag,5.4,1.93,3.64,1.97,4.81,2.32
airborne,5.25,1.86,3.52,1.91,4.48,2.24
aircraft,6.3,1.42,4.86,2.46,5.71,2.45
aircraft carrier,5.25,1.8,4.64,2.59,5.85,2.32
airfield,5.74,1.48,4.38,2.22,4.82,2.02
airhead,4.1,2,4.3,2.32,4.19,2.64
airline,5.36,1.87,4.12,2.57,4.92,2.28
airliner,6.05,1.72,4,2.51,4.25,2.44
airlock,4.85,1.09,4.23,2.29,5,2.29
airplane,5.25,1.62,5.62,2.42,4.12,2.57
airport,6,2.14,5.5,2.78,5.79,2.84
airship,5.63,1.34,4.88,2.47,4.43,2.15
airspace,5.5,1.29,4.4,2.16,4.91,1.53
airspeed,4.95,1.51,4.33,2.79,5.24,2.14
airstrip,4.76,1.48,3.83,2.68,5.1,2.53
airtight,5.1,1.86,3.3,2.01,4.76,2.41
airway,4.95,1.81,4,1.97,3.95,2.09
aisle,5.17,1.65,2.5,1.44,4.87,2.12
ajar,5,1.55,3.26,2.32,5.28,1.9
aka,4.63,1.46,3.39,2.33,4.4,2.13
alabaster,5.5,1.43,3.95,2.06,5.35,2.5
alarm,3.86,1.98,6.85,2.39,6.58,2.73
alarm clock,3.47,1.47,5.36,2.77,4.82,2.2
alarming,3.52,2.04,6.5,2.09,4.05,2.2
albatross,5.68,2.31,3.09,1.6,4.91,1.95
albino,4.9,1.51,3.09,1.6,4.05,1.83
album,6.19,1.78,5.63,2.63,5.86,2.1
alcohol,4.11,2.08,5.17,1.86,4,2.5
alcoholic,2.49,1.54,5.48,2.69,3.27,2.45
alcoholism,2,1.61,5,2.45,3,2.53
alcove,5.5,1.91,3.32,2.39,5.33,2.28
alderman,4.44,2.12,3.05,1.89,5.04,1.36
ale,5.95,1.31,4.1,2.1,5.17,2.08
alert,5.38,1.72,5.14,2.41,6.58,2.07
alfalfa,4.79,1.9,3.67,1.91,5.73,1.83
algebra,5.4,2.28,4.6,2.66,4.54,2.44
algorithm,5.3,1.59,3.7,1.87,4.04,2.13
alias,5,1.03,4.71,2.05,5.94,2.37
alibi,4.16,1.89,4.5,1.88,5.17,2.3
alien,4.45,1.82,4.86,2.21,3.56,2.66
alienate,2.79,1.62,4.27,1.88,3.71,1.68
alienation,2.53,1.17,5.14,1.88,3.33,1.69
alight,5.67,1.43,3.86,2.03,5.88,2.25
align,5.95,1.75,3.32,1.91,5.95,1.81
alignment,6,1.48,3.92,2.34,6.32,2.23
alimony,3.86,1.74,3.09,2.45,4.32,2.48
alive,6.57,2.33,5.93,2.88,6.77,2.26
allegation,3.26,1.24,5.9,1.3,3.96,2.5
alleged,3.62,1.86,5.09,2.11,4.27,1.64
allegiance,5.8,1.67,5.17,2.21,7.05,1.32
allegro,5,1.65,3.89,2.95,5.36,2.01
allergic,3,1.86,5.4,2.44,3.81,2.43
allergy,2.9,1.55,3.9,2.17,3.5,2.19
alleviate,6.25,1.41,3.45,2.32,5.84,1.64
alley,4.17,1.63,4.08,2.28,4.63,1.83
alleyway,3.46,1.72,3.7,2.69,5.2,1.94
alliance,6.14,1.77,4.4,2.74,5.78,2.19
allied,5.95,1.36,3.38,1.94,5.4,2.52
alligator,4.23,1.88,5.36,2.3,4.1,2.49
allow,6.39,1.75,2.95,1.75,6.11,2.54
allowance,6.74,1.37,4.05,2.11,5.7,2.2
alloy,5.2,1.85,3.32,2.06,5.9,1.64
allure,6.9,0.97,4.25,2.55,5.77,1.66
alluring,6.74,1.41,4.35,2.46,5.86,2.14
ally,6.05,2.4,4.8,2.44,6.84,2.12
almanac,5.55,1.19,3.24,2.05,5.88,2.01
almighty,6.15,2.16,4.59,2.61,5.81,2.82
almond,6.05,1.85,2.89,2.13,6.46,1.82
aloha,7.1,1.26,3.82,2.13,6.33,1.68
alone,3.85,2.23,4,2.72,4.5,2.59
aloof,4.59,2.16,3.09,1.99,4.63,2.29
alpha,5.5,2.24,3.67,2.63,6.32,2.48
alphabet,5.95,1.94,3.15,2.25,5.79,2.62
alphabetical,6.32,1.42,3,1.7,6.14,2.21
alpine,5.84,0.76,3.52,1.89,5.74,2.4
altar,5.59,2.15,4.05,2.62,5.68,2.8
altar boy,4.76,1.41,3.11,2.13,4.62,2.6
alter,4.57,1.29,4.17,2.19,5.57,2.38
alteration,5.05,1.84,4.05,2.35,6.15,2.01
altercation,3.61,1.64,5.62,2.75,4.4,2.6
alternate,5.15,0.81,3.48,1.89,5.2,2.31
alternating,5.37,1.54,4.27,2.14,5.53,2.12
alternative,5.33,1.43,3.61,2.74,6.33,2.2
altimeter,4.5,0.96,3.61,2.1,5,2.16
altitude,5.27,1.72,4.15,2.52,5.46,2.28
aluminum,5.1,1.68,4.05,2.24,6,1.67
alumnus,4.95,1.5,3.23,2,6.1,1.67
alzheimers,2.26,1.82,4.5,2.35,2,1.68
amaretto,6,1.9,4.04,2.4,5.19,2.25
amateur,4.58,1.17,3.55,2.09,5.25,2.34
amaze,7.24,2,5,2.25,5.83,2.37
amazed,7.55,0.89,5.95,2.68,6.11,2.26
